[2026-04-01 10:55:37,551: INFO: _client: HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/stacked-summaries/stacked-samsum-1024/stacked-summaries/stacked-samsum-1024.py "HTTP/1.1 404 Not Found"]
[2026-04-01 10:55:38,021: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/revision/b186aa62836c86d22be8fba79a15e546e2b79d7d "HTTP/1.1 200 OK"]
[2026-04-01 10:55:38,508: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/.huggingface.yaml "HTTP/1.1 404 Not Found"]
[2026-04-01 10:55:39,145: INFO: _client: HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=stacked-summaries/stacked-samsum-1024 "HTTP/1.1 200 OK"]
[2026-04-01 10:55:39,463: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"]
[2026-04-01 10:55:40,764: INFO: _client: HTTP Request: GET https://huggingface.co/api/datasets/stacked-summaries/stacked-samsum-1024/tree/b186aa62836c86d22be8fba79a15e546e2b79d7d?recursive=false&expand=false "HTTP/1.1 200 OK"]
[2026-04-01 10:55:41,702: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/b186aa62836c86d22be8fba79a15e546e2b79d7d/dataset_infos.json "HTTP/1.1 404 Not Found"]
[2026-04-01 10:55:41,797: INFO: utils: created the path artifacts\data_ingestion]
[2026-04-01 10:55:46,282: INFO: utils: created the path artifacts\data_ingestion]
[2026-04-01 10:55:46,531: INFO: utils: created the path artifacts\data_ingestion]
[2026-04-01 10:55:46,782: INFO: utils: loaded the yaml file]
[2026-04-01 10:55:46,782: INFO: config: created the artifacts]
[2026-04-01 10:55:46,800: INFO: utils: created the path artifacts]
[2026-04-01 10:55:46,800: INFO: config: starting the validation----]
[2026-04-01 10:55:49,305: INFO: valid: starting to check for nulls====]
[2026-04-01 10:55:49,338: INFO: valid: the total nulls in train dialogue          1
summary           0
chapter_length    0
summary_length    0
is_stacked        0
dtype: int64 and total in test dialogue          0
summary           0
chapter_length    0
summary_length    0
is_stacked        0
dtype: int64]
[2026-04-01 10:55:49,341: INFO: valid: now removing all the nulls]
[2026-04-01 11:05:51,513: INFO: main: started data_ingestion]
[2026-04-01 11:05:51,524: INFO: utils: loaded the yaml file]
[2026-04-01 11:05:51,526: INFO: utils: created the path artifacts]
[2026-04-01 11:05:51,527: INFO: main: started the getting the artifacts]
[2026-04-01 11:05:51,528: INFO: main: check your artifacts folder all good]
[2026-04-01 11:05:52,298: INFO: _client: HTTP Request: HEAD https://huggingface.co/datasets/stacked-summaries/stacked-samsum-1024/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"]
[2026-04-01 11:05:52,389: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/stacked-summaries/stacked-samsum-1024/b186aa62836c86d22be8fba79a15e546e2b79d7d/README.md "HTTP/1.1 200 OK"]
